Time,Voltage,gNA,gK,gL
18.699999999999996,-56.14590148685427,2.040787474178077e-06,1.6544727404546189e-06,0.0187
18.799999999999997,-56.08444738373525,2.1089136311120098e-06,1.6948137623167897e-06,0.0187
18.9,-56.02310744131321,2.179132331023501e-06,1.7360137072927001e-06,0.0187
19.0,-55.96188142568058,2.2515015148787884e-06,1.7780887312657846e-06,0.0187
19.1,-55.90076910278715,2.3260805224544327e-06,1.8210552556817576e-06,0.0187
19.200000000000003,-55.83977023842641,2.4029301200116995e-06,1.8649299711441793e-06,0.0187
19.300000000000004,-55.778884598221595,2.4821125283586105e-06,1.909729841045765e-06,0.0187
19.400000000000006,-55.71811194761152,2.5636914513016332e-06,1.9554721052356514e-06,0.0187
19.500000000000007,-55.657452051836216,2.6477321044890028e-06,2.0021742837227856e-06,0.0187
19.60000000000001,-55.59690467592223,2.7343012446474988e-06,2.0498541804157037e-06,0.0187
19.70000000000001,-55.536469584667714,2.8234671992146524e-06,2.0985298868988537e-06,0.0187
19.80000000000001,-55.476146542627205,2.915299896368221e-06,2.1482197862457078e-06,0.0187
19.900000000000013,-55.41593531409626,3.009870895454742e-06,2.198942556868863e-06,0.0187
20.000000000000014,-55.35583566309566,3.107253417818927e-06,2.2507171764073605e-06,0.0187
20.100000000000016,-55.29584735335554,3.2075223780357764e-06,2.303562925651426e-06,0.0187
20.200000000000017,-55.23597014829906,3.3107544155470076e-06,2.357499392504862e-06,0.0187
20.30000000000002,-55.17620381102593,3.4170279267036908e-06,2.4125464759853156e-06,0.0187
20.40000000000002,-55.11654810429562,3.5264230972167024e-06,2.4687243902626606e-06,0.0187
20.50000000000002,-55.05700279051028,3.6390219350167288e-06,2.5260536687357022e-06,0.0187
20.600000000000023,-54.9975676316974,3.75490830352549e-06,2.58455516814746e-06,0.0187
20.700000000000024,-54.93824238949213,3.87416795533992e-06,2.6442500727392675e-06,0.0187
20.800000000000026,-54.87902682511941,3.996888566330928e-06,2.7051598984439215e-06,0.0187
20.900000000000027,-54.8199206993757,4.123159770158407e-06,2.7673064971181424e-06,0.0187
21.00000000000003,-54.7609237726105,4.253073193204227e-06,2.8307120608145894e-06,0.0187
21.10000000000003,-54.702035804707506,4.3867224899248656e-06,2.895399126093693e-06,0.0187
21.20000000000003,-54.64325655506555,4.524203378625356e-06,2.961390578375578e-06,0.0187
21.300000000000033,-54.58458578257911,4.665613677656316e-06,3.028709656332327e-06,0.0187
21.400000000000034,-54.52602324561867,4.811053342035772e-06,3.097379956320874e-06,0.0187
21.500000000000036,-54.4675687020106,4.9606245004975115e-06,3.167425436856828e-06,0.0187
21.600000000000037,-54.40922190901689,5.11443149296784e-06,3.238870423129465e-06,0.0187
21.70000000000004,-54.35098262331444,5.272580908472494e-06,3.3117396115582474e-06,0.0187
21.80000000000004,-54.29285060097406,5.435181623475638e-06,3.3860580743911266e-06,0.0187
21.90000000000004,-54.234825597439254,5.602344840652844e-06,3.461851264344969e-06,0.0187
22.000000000000043,-54.176907367504484,5.7741841281000275e-06,3.5391450192884177e-06,0.0187
22.100000000000044,-54.11909566529327,5.950815458980445e-06,3.617965566967508e-06,0.0187
22.200000000000045,-54.06139024423591,6.132357251611792e-06,3.6983395297744007e-06,0.0187
22.300000000000047,-54.00379085704682,6.3189304099956155e-06,3.7802939295595503e-06,0.0187
22.40000000000005,-53.94629725570162,6.510658364791284e-06,3.863856192487707e-06,0.0187
22.50000000000005,-53.88890919141379,6.707667114736942e-06,3.949054153938069e-06,0.0187
22.60000000000005,-53.83162641461103,6.910085268519858e-06,4.035916063449016e-06,0.0187
22.700000000000053,-53.7744486749113,7.118044087098772e-06,4.124470589707786e-06,0.0187
22.800000000000054,-53.717375721098435,7.33167752648081e-06,4.2147468255855035e-06,0.0187
22.900000000000055,-53.66040730109749,7.551122280955936e-06,4.306774293217992e-06,0.0187
23.000000000000057,-53.60354316194967,7.776517826791747e-06,4.400582949132774e-06,0.0187
23.10000000000006,-53.546783049786924,8.00800646639173e-06,4.496203189422732e-06,0.0187
23.20000000000006,-53.49012670980615,8.245733372920258e-06,4.59366585496686e-06,0.0187
23.30000000000006,-53.43357388624308,8.489846635397642e-06,4.6930022366986004e-06,0.0187
23.400000000000063,-53.37712432234578,8.740497304268885e-06,4.79424408092225e-06,0.0187
23.500000000000064,-53.32077776034774,8.997839437449715e-06,4.8974235946779285e-06,0.0187
23.600000000000065,-53.26453394144063,9.262030146854098e-06,5.002573451155661e-06,0.0187
23.700000000000067,-53.2083926057467,9.533229645407162e-06,5.109726795159066e-06,0.0187
